No of clusters in KNN:89 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:90 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:91 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:92 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:93 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:94 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:95 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:96 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:97 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:98 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:99 Misclassified-Test-Set:49 Accuracy:0.02
